224.0.0.0,240.0.0.0,on-link,11.2.1.1 11.3.1.1 11.4.1.1 ,306,MULTICAST
255.255.255.255,255.255.255.255,on-link,11.2.1.1 ,999,BROADCAST




Application_Metrics

Application Id,Application Name,Source Id,Destination Id,Packet generated,Packet received,Payload generated (bytes),Payload received (bytes),Throughput (Mbps),Delay(microsec),Jitter(microsec)
1,App1_FTP,1,2,138,138,200000,200000,0.160000,507332.794203,7567.450511
2,App2_FTP,2,1,138,138,200000,200000,0.160000,506674.315942,7539.838540
3,App3_FTP,3,2,138,138,200000,200000,0.160000,7034.263188,249.769343




